
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
  1      0.00002276497993  2.42e-06      9.41800540608360  1.00e+00     -0.00004539069459 -4.82e-06      9.41798278036895  1.00e+00
  2      0.00031071370107  3.30e-05      9.41829126635360  1.00e+00     -0.00061928214806 -6.58e-05      9.41798269790661  1.00e+00
  3      0.00011536788127  1.23e-05      9.41746478394184  1.00e+00     -0.00022997594847 -2.44e-05      9.41735017587464  1.00e+00
  4      0.00095567881093  1.01e-04      9.41829803125781  1.00e+00     -0.00190380360779 -2.02e-04      9.41734990646095  1.00e+00
  5      0.00033890441783  3.60e-05      9.41635620137406  1.00e+00     -0.00067536042680 -7.17e-05      9.41601974536509  1.00e+00
  6      0.00234263905477  2.49e-04      9.41833970750661  1.00e+00     -0.00466333982078 -4.95e-04      9.41601900674060  1.00e+00
  7      0.00075725161155  8.04e-05      9.41416032078401  1.00e+00     -0.00150837465960 -1.60e-04      9.41340919773596  1.00e+00
  8      0.00516699599964  5.49e-04      9.41851433816916  1.00e+00     -0.01027406591875 -1.09e-03      9.41340726825005  1.00e+00
  9      0.00141302077996  1.50e-04      9.40966026799817  1.00e+00     -0.00281297817806 -2.99e-04      9.40826031060007  1.00e+00
 10      0.01105987125761  1.18e-03      9.41914695615306  1.00e+00     -0.02195172730040 -2.33e-03      9.40825510011028  1.00e+00
 11      0.00223641682452  2.38e-04      9.39966237655722  1.00e+00     -0.00444916598188 -4.73e-04      9.39744962739987  1.00e+00
