
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
  1      0.00003094212222  3.66e-06      8.45628965049024  1.00e+00     -0.00006176479813 -7.30e-06      8.45625882781433  1.00e+00
  2      0.00033394326397  3.95e-05      8.45656544574568  1.00e+00     -0.00066615709773 -7.88e-05      8.45623323191192  1.00e+00
  3      0.00015597189754  1.84e-05      8.45571866933139  1.00e+00     -0.00031129275795 -3.68e-05      8.45556334847098  1.00e+00
  4      0.00102620268336  1.21e-04      8.45652200780274  1.00e+00     -0.00204639468078 -2.42e-04      8.45550181580532  1.00e+00
  5      0.00045769561097  5.41e-05      8.45456278321071  1.00e+00     -0.00091328583015 -1.08e-04      8.45410719299153  1.00e+00
  6      0.00250178721207  2.96e-04      8.45647251031097  1.00e+00     -0.00498643972208 -5.90e-04      8.45398785780096  1.00e+00
  7      0.00102882783059  1.22e-04      8.45231244916747  1.00e+00     -0.00205231955905 -2.43e-04      8.45128895743900  1.00e+00
  8      0.00546009176423  6.46e-04      8.45649309231395  1.00e+00     -0.01087458618192 -1.29e-03      8.45107859789625  1.00e+00
  9      0.00195901786629  2.32e-04      8.44779785579676  1.00e+00     -0.00390627540641 -4.63e-04      8.44585059825664  1.00e+00
 10      0.01149712815972  1.36e-03      8.45685993489317  1.00e+00     -0.02287101949187 -2.71e-03      8.44548604356102  1.00e+00
 11      0.00327796444278  3.89e-04      8.43800479465613  1.00e+00     -0.00653251400658 -7.74e-04      8.43475024509233  1.00e+00
 12      0.02486723205395  2.95e-03      8.45858057699550  1.00e+00     -0.04937116883114 -5.85e-03      8.43407664021831  1.00e+00
 13      0.00476050774170  5.66e-04      8.41410102730834  1.00e+00     -0.00947900891239 -1.13e-03      8.40938252613764  1.00e+00
 14      0.05924146748093  7.05e-03      8.46586429107356  1.01e+00     -0.11722522734020 -1.39e-02      8.40788053121429  1.00e+00
 15      0.00595871873547  7.15e-04      8.34554986209550  1.00e+00     -0.01182907016504 -1.42e-03      8.33967951066592  1.00e+00
 16      0.17266900317041  2.07e-02      8.50157426894471  1.02e+00     -0.33967520696310 -4.08e-02      8.33456806515201  1.00e+00
 17      0.01792423565606  2.21e-03      8.14159774059055  1.00e+00     -0.03490138753134 -4.30e-03      8.12462058871527  1.00e+00
 18      0.67791421451656  8.40e-02      8.71778819953794  1.08e+00     -1.32222721332159 -1.64e-01      8.07347520073291  1.00e+00
 19      3.45997924877095  6.65e-01      8.51465799456787  1.64e+00     -6.76938313078754 -1.30e+00      5.20525411255127  1.00e+00
 20      6.31960223220683  1.04e+00     11.97408025205675  1.97e+00    -12.22280281918664 -2.01e+00      6.07087966507694  1.00e+00
 21     22.96752031625014  5.66e+00     26.05823019108199  6.43e+00    -44.97125877667333 -1.11e+01      4.05449173065880  1.00e+00
 22     16.16334238035672  2.60e+00     18.11182141772788  2.92e+00    -28.06365853853925 -4.52e+00      6.21150525954534  1.00e+00
 23     13.88108594259242  3.37e+00     19.49574985129003  4.73e+00    -29.25917519828355 -7.11e+00      4.11766059559890  1.00e+00
 24      2.49805674661152  4.61e-01      8.29650228470186  1.53e+00     -5.37961169460849 -9.93e-01      5.41494733670490  1.00e+00
 25     -8.66393486642018 -1.63e+00     -0.51413541955040 -9.65e-02     14.50675081872372  2.72e+00      5.32868053275315  1.00e+00
 26     -4.57716214571605 -8.80e-01      1.24758801622137  2.40e-01      8.53028733543893  1.64e+00      5.20071320594425  1.00e+00
 27     -4.16388918182646 -8.22e-01      1.38068778205561  2.73e-01      7.84864848206148  1.55e+00      5.06544708229062  1.00e+00
 28      2.58307847804503  5.04e-01      2.56415541026205  5.01e-01     -0.02407620115694 -4.70e-03      5.12315768715013  1.00e+00
 29      2.17772755312807  4.27e-01      2.40123551737401  4.70e-01      0.52640980544407  1.03e-01      5.10537287594615  1.00e+00
 30      5.23192123717403  1.02e+00      0.48397589610866  9.46e-02     -0.60220972100737 -1.18e-01      5.11368741227532  1.00e+00
 31      5.19426373969011  1.02e+00      0.46227607199939  9.04e-02     -0.54452730308840 -1.07e-01      5.11201250860110  1.00e+00
 32      5.12859658232183  1.00e+00      0.01272797181086  2.49e-03     -0.03025217405509 -5.92e-03      5.11107238007761  1.00e+00
 33      5.19540721223544  1.02e+00      0.46229544207506  9.05e-02     -0.54665455447700 -1.07e-01      5.11104809983350  1.00e+00
 34      5.23329267936018  1.02e+00      0.49188863586952  9.62e-02     -0.61421626134323 -1.20e-01      5.11096505388647  1.00e+00
 35      2.23162162998810  4.37e-01      2.38693334312532  4.67e-01      0.49147116886280  9.62e-02      5.11002614197621  1.00e+00
 36      2.48087613454924  4.86e-01      2.59649159158757  5.08e-01      0.03215433328739  6.29e-03      5.10952205942421  1.00e+00
